item,entry_time,exit_time,entry_price,exit_price,size,pnl,return,confidence,reason
CRYSTAL_FRAGMENT,1754519168.0,1754602530.112,127593.01109999999,135962.8695,5106,42736496.99040006,0.06559809450252885,0.95936877,final_close
ENCHANTMENT_ICE_COLD_1,1754519296.0,1754550400.0,4199963.842499999,4552675.7325,58,20457289.620000035,0.0839797444041926,0.9721867,flip_down
TUNGSTEN_KEY,1754550528.0,1754602530.112,1462864.734,1519298.8325,39,2200929.841500003,0.03857779683135083,0.9561517,final_close
GOBLIN_EGG_BLUE,1754519552.0,1754536448.0,494379.85124999995,718738.00125,8,1794865.2000000002,0.4538173419339975,0.9203277,flip_down
ENCHANTED_SULPHUR_CUBE,1754519936.0,1754525696.0,253327.4355,1037193.373,2,1567731.875,3.0942796857073938,0.96936965,tp
ENCHANTMENT_STRONG_MANA_5,1754594048.0,1754599936.0,3278668.2824999997,4535518.45,1,1256850.1675000004,0.383341667776664,0.96230215,flip_down
DUNGEON_TRAP,1754589184.0,1754591616.0,0.5025,1.24375,1606550,1190855.1875,1.4751243781094527,0.91190535,tp
FREE_WILL,1754550400.0,1754602530.112,6828525.262499999,6871827.205,25,1082548.5625000205,0.006341331522605731,0.9587867,final_close
ROBOTRON_REFLECTOR,1754523776.0,1754579840.0,128954.17304999998,557483.376,2,857058.4059000001,3.323112333742348,0.966648,tp
DIVER_FRAGMENT,1754536448.0,1754591744.0,3823748.6249999995,4560342.705,1,736594.0800000005,0.19263663808444015,0.9656037,flip_down
ENCHANTMENT_SMOLDERING_1,1754550656.0,1754602530.112,3070779.51,3145628.82,8,598794.4800000004,0.02437469370765733,0.96892077,final_close
FIGSTONE,1754536704.0,1754586752.0,187398.61139999997,685864.644,1,498466.03260000004,2.6599238322851315,0.85841805,tp
MOLTEN_POWDER,1754529408.0,1754538112.0,269280.17234999995,626897.76,1,357617.58765000006,1.328050203359134,0.96624804,tp
